"id","job_id","display_name","cron_expression","time_zone_id","enabled","sort_order","created_at","updated_at","job_type_name","job_method_name","manual_run_json"
99,devops-daily-digest-job,DevOps Daily Digest (T-1),"55 6 * * *",UTC,true,115,2026-05-20 12:56:46.179 +0700,2026-05-20 12:56:46.179 +0700,"MediationPro.Jobs.DevopsDailyDigestJob, MediationPro.Jobs",GenerateAsync,""
100,qa-daily-digest-job,QA Daily Digest (T-1),"15 7 * * *",UTC,true,116,2026-05-20 12:56:46.179 +0700,2026-05-20 12:56:46.179 +0700,"MediationPro.Jobs.QaDailyDigestJob, MediationPro.Jobs",GenerateAsync,""
101,bod-daily-digest-job,BOD Daily Digest (T-1),"30 7 * * *",UTC,false,117,2026-05-20 12:56:46.179 +0700,2026-05-20 13:24:43.553 +0700,"MediationPro.Jobs.BodDailyDigestJob, MediationPro.Jobs",GenerateAsync,""
98,da-daily-digest-job,DA Daily Digest (T-1),"50 6 * * *",UTC,false,114,2026-05-20 12:56:46.179 +0700,2026-05-20 13:24:58.636 +0700,"MediationPro.Jobs.DataAnalystDailyDigestJob, MediationPro.Jobs",GenerateAsync,""
102,performance-sync-admob-today,Performance Sync — AdMob admob_table (Today),"5 */2 * * *",UTC,true,30,2026-05-20 16:18:25.143 +0700,2026-05-20 16:18:25.143 +0700,"MediationPro.Jobs.PerformanceSyncJob, MediationPro.Jobs",SyncTodayAsync,""
103,performance-sync-admob-recent,Performance Sync — AdMob admob_table (Last 3 Days),"12 3,15 * * *",UTC,true,31,2026-05-20 16:18:25.143 +0700,2026-05-20 16:18:25.143 +0700,"MediationPro.Jobs.PerformanceSyncJob, MediationPro.Jobs",SyncLast3DaysAsync,""
104,performance-sync-mkt-today,Performance Sync — AdMob mkt_table (Today),"28 1-23/2 * * *",UTC,true,32,2026-05-20 16:18:25.143 +0700,2026-05-20 16:18:25.143 +0700,"MediationPro.Jobs.PerformanceMktSyncJob, MediationPro.Jobs",SyncTodayAsync,""
105,performance-sync-mkt-recent,Performance Sync — AdMob mkt_table (Last 3 Days),"45 6,18 * * *",UTC,true,34,2026-05-20 16:18:25.143 +0700,2026-05-20 16:18:25.143 +0700,"MediationPro.Jobs.PerformanceMktSyncJob, MediationPro.Jobs",SyncLast3DaysAsync,""
106,performance-sync-admob-revenue-today,Performance Sync — AdMob revenue_table (Today),"15 * * * *",UTC,true,36,2026-05-20 16:18:25.161 +0700,2026-05-20 16:18:25.161 +0700,"MediationPro.Jobs.PerformanceAdmobRevenueSyncJob, MediationPro.Jobs",SyncTodayAsync,""
107,performance-sync-admob-revenue-recent,Performance Sync — AdMob revenue_table (Last 3 Days),"30 9,21 * * *",UTC,true,37,2026-05-20 16:18:25.161 +0700,2026-05-20 16:18:25.161 +0700,"MediationPro.Jobs.PerformanceAdmobRevenueSyncJob, MediationPro.Jobs",SyncLast3DaysAsync,""
